0001|THE Phantom slowly, gravely, silently, approached.|THE Phantom slowly, gravely, silently, approached.
0002|When it came near him, Scrooge bent down upon his knee; for in the very air through which this Spirit moved it seemed to scatter gloom and mystery.|When it came near him, Scrooge bent down upon his knee; for in the very air through which this Spirit moved it seemed to scatter gloom and mystery.
0003|It was shrouded in a deep black garment, which concealed its head, its face, its form, and left nothing of it visible save one outstretched hand.|It was shrouded in a deep black garment, which concealed its head, its face, its form, and left nothing of it visible save one outstretched hand.
0004|But for this it would have been difficult to detach its figure from the night, and separate it from the darkness by which it was surrounded.|But for this it would have been difficult to detach its figure from the night, and separate it from the darkness by which it was surrounded.
0005|He felt that it was tall and stately when it came beside him, and that its mysterious presence filled him with a solemn dread.|He felt that it was tall and stately when it came beside him, and that its mysterious presence filled him with a solemn dread.
0006|"I am in the presence of the Ghost of Christmas Yet To Come?" said Scrooge.|"I am in the presence of the Ghost of Christmas Yet To Come?" said Scrooge.
0007|The Spirit answered not, but pointed onward with its hand.|The Spirit answered not, but pointed onward with its hand.
0008|"You are about to show me shadows of the things that have not happened, but will happen in the time before us," Scrooge pursued.|"You are about to show me shadows of the things that have not happened, but will happen in the time before us," Scrooge pursued.
0009|"Is that so, Spirit?"|"Is that so, Spirit?"
0010|The upper portion of the garment was contracted for an instant in its folds, as if the Spirit had inclined its head. That was the only answer he received.|The upper portion of the garment was contracted for an instant in its folds, as if the Spirit had inclined its head. That was the only answer he received.
0011|The Spirit paused a moment, as observing his condition, and giving him time to recover.|The Spirit paused a moment, as observing his condition, and giving him time to recover.
0012|It thrilled him with a vague uncertain horror, to know that behind the dusky shroud, there were ghostly eyes intently fixed upon him, while he, though he stretched his own to the utmost, could see nothing but a spectral hand and one great heap of black.|It thrilled him with a vague uncertain horror, to know that behind the dusky shroud, there were ghostly eyes intently fixed upon him, while he, though he stretched his own to the utmost, could see nothing but a spectral hand and one great heap of black.
0013|"Ghost of the Future!" he exclaimed, "I fear you more than any spectre I have seen.|"Ghost of the Future!" he exclaimed, "I fear you more than any spectre I have seen.
0014|Will you not speak to me?"|Will you not speak to me?"
0015|It gave him no reply.|It gave him no reply.
0016|The hand was pointed straight before them.|The hand was pointed straight before them.
0017|"Lead on!|"Lead on!
0018|The night is waning fast, and it is precious time to me, I know.|The night is waning fast, and it is precious time to me, I know.
0019|Lead on, Spirit!"|Lead on, Spirit!"
0020|The Phantom moved away as it had come towards him. Scrooge followed in the shadow of its dress, which bore him up, he thought, and carried him along.|The Phantom moved away as it had come towards him. Scrooge followed in the shadow of its dress, which bore him up, he thought, and carried him along.
0021|They scarcely seemed to enter the city; for the city rather seemed to spring up about them, and encompass them of its own act.|They scarcely seemed to enter the city; for the city rather seemed to spring up about them, and encompass them of its own act.
